id;catcode;catname;scatcode;scatname;charac;code
2853;2;Physical health intervention;1;Physical activity ;Adapted physical conditioning;NPI2.1.1
417;2;Physical health intervention;1;Physical activity ;Aero Dance;NPI2.1.1
420;2;Physical health intervention;1;Physical activity ;Aero Latin;NPI2.1.1
411;2;Physical health intervention;1;Physical activity ;Aero-Baladi;NPI2.1.1
415;2;Physical health intervention;1;Physical activity ;Aerobic smooth;NPI2.1.1
413;2;Physical health intervention;1;Physical activity ;Aerobics;NPI2.1.1
414;2;Physical health intervention;1;Physical activity ;aerobics;NPI2.1.1
416;2;Physical health intervention;1;Physical activity ;aerobox;NPI2.1.1
418;2;Physical health intervention;1;Physical activity ;Aero-Dance gently;NPI2.1.1
419;2;Physical health intervention;1;Physical activity ;Aero-Kickboxing;NPI2.1.1
421;2;Physical health intervention;1;Physical activity ;Aero-Salsa;NPI2.1.1
422;2;Physical health intervention;1;Physical activity ;Aero-Step-Toning;NPI2.1.1
423;2;Physical health intervention;1;Physical activity ;Aero-Tone;NPI2.1.1
424;2;Physical health intervention;1;Physical activity ;Aero-Tonus smoothly;NPI2.1.1
3170;2;Physical health intervention;1;Physical activity ;African dance;NPI2.1.1
451;2;Physical health intervention;1;Physical activity ;Aikido;NPI2.1.1
856;2;Physical health intervention;1;Physical activity ;Aqua arthritis;NPI2.1.1
858;2;Physical health intervention;1;Physical activity ;Aqua cardio;NPI2.1.1
859;2;Physical health intervention;1;Physical activity ;Aqua core;NPI2.1.1
860;2;Physical health intervention;1;Physical activity ;Aqua dance;NPI2.1.1
862;2;Physical health intervention;1;Physical activity ;Aqua intervals;NPI2.1.1
863;2;Physical health intervention;1;Physical activity ;Aqua jogging;NPI2.1.1
864;2;Physical health intervention;1;Physical activity ;Aqua Zumba;NPI2.1.1
857;2;Physical health intervention;1;Physical activity ;AquaBootcamp;NPI2.1.1
868;2;Physical health intervention;1;Physical activity ;Aquafit;NPI2.1.1
2472;2;Physical health intervention;1;Physical activity ;Athletic circuit;NPI2.1.1
1283;2;Physical health intervention;1;Physical activity ;Badminton;NPI2.1.1
1292;2;Physical health intervention;1;Physical activity ;Baladi;NPI2.1.1
3862;2;Physical health intervention;1;Physical activity ;Ballet training;NPI2.1.1
3863;2;Physical health intervention;1;Physical activity ;Ballet TrainingByBallet Hop!;NPI2.1.1
2920;2;Physical health intervention;1;Physical activity ;Body and mind;NPI2.1.1
7533;2;Physical health intervention;1;Physical activity ;Bodybuilding and cardio;NPI2.1.1
3864;2;Physical health intervention;1;Physical activity ;Bollywood training;NPI2.1.1
1724;2;Physical health intervention;1;Physical activity ;Bootcamp;NPI2.1.1
1726;2;Physical health intervention;1;Physical activity ;Bootcamp Tabata;NPI2.1.1
1733;2;Physical health intervention;1;Physical activity ;BOSU;NPI2.1.1
1770;2;Physical health intervention;1;Physical activity ;Boxing;NPI2.1.1
1771;2;Physical health intervention;1;Physical activity ;Boxing - Teen;NPI2.1.1
1997;2;Physical health intervention;1;Physical activity ;Capoeira;NPI2.1.1
2058;2;Physical health intervention;1;Physical activity ;CardioBike;NPI2.1.1
2067;2;Physical health intervention;1;Physical activity ;Cardio-bike  Pilates;NPI2.1.1
2059;2;Physical health intervention;1;Physical activity ;CardioBike  Tonus;NPI2.1.1
2060;2;Physical health intervention;1;Physical activity ;CardioBike endurance;NPI2.1.1
2061;2;Physical health intervention;1;Physical activity ;CardioBike HIIT;NPI2.1.1
2062;2;Physical health intervention;1;Physical activity ;CardioBike intervals;NPI2.1.1
7731;2;Physical health intervention;1;Physical activity ;Cleaning;NPI2.1.1
3171;2;Physical health intervention;1;Physical activity ;Contemporary dance;NPI2.1.1
8483;2;Physical health intervention;1;Physical activity ;Cycling performance;NPI2.1.1
3865;2;Physical health intervention;1;Physical activity ;Cyclist training;NPI2.1.1
3168;2;Physical health intervention;1;Physical activity ;Dance;NPI2.1.1
3172;2;Physical health intervention;1;Physical activity ;Dance online;NPI2.1.1
4049;2;Physical health intervention;1;Physical activity ;Essentrics;NPI2.1.1
3869;2;Physical health intervention;1;Physical activity ;Extreme training;NPI2.1.1
1725;2;Physical health intervention;1;Physical activity ;FamilyBootcamp;NPI2.1.1
2852;2;Physical health intervention;1;Physical activity ;Fitness;NPI2.1.1
2854;2;Physical health intervention;1;Physical activity ;Fitness smoothly;NPI2.1.1
5478;2;Physical health intervention;1;Physical activity ;Free Hockey;NPI2.1.1
8428;2;Physical health intervention;1;Physical activity ;Free skating;NPI2.1.1
1291;2;Physical health intervention;1;Physical activity ;FreeBaths;NPI2.1.1
1772;2;Physical health intervention;1;Physical activity ;FreeBoxing;NPI2.1.1
3870;2;Physical health intervention;1;Physical activity ;Functional training;NPI2.1.1
6162;2;Physical health intervention;1;Physical activity ;Gardening;NPI2.1.1
4063;2;Physical health intervention;1;Physical activity ;Gentle stretches;NPI2.1.1
111;2;Physical health intervention;1;Physical activity ;HIIT;NPI2.1.1
112;2;Physical health intervention;1;Physical activity ;HIIT - Kickboxing;NPI2.1.1
113;2;Physical health intervention;1;Physical activity ;HIIT - Tonus;NPI2.1.1
5469;2;Physical health intervention;1;Physical activity ;Hip Hop - Teens;NPI2.1.1
1787;2;Physical health intervention;1;Physical activity ;Housing;NPI2.1.1
3872;2;Physical health intervention;1;Physical activity ;Interval training;NPI2.1.1
9686;2;Physical health intervention;1;Physical activity ;Ironing;NPI2.1.1
9962;2;Physical health intervention;1;Physical activity ;Jump rope;NPI2.1.1
6202;2;Physical health intervention;1;Physical activity ;Karate;NPI2.1.1
6206;2;Physical health intervention;1;Physical activity ;Katori Shinto;NPI2.1.1
6230;2;Physical health intervention;1;Physical activity ;KickBoxing;NPI2.1.1
6231;2;Physical health intervention;1;Physical activity ;Kickboxing (10 weeks);NPI2.1.1
6232;2;Physical health intervention;1;Physical activity ;Kickboxing (small group);NPI2.1.1
1161;2;Physical health intervention;1;Physical activity ;Martial Arts;NPI2.1.1
7091;2;Physical health intervention;1;Physical activity ;Meditation;NPI2.1.1
3871;2;Physical health intervention;1;Physical activity ;Metabolic training;NPI2.1.1
114;2;Physical health intervention;1;Physical activity ;Metafit Bootcamp;NPI2.1.1
7033;2;Physical health intervention;1;Physical activity ;Myofascial massage;NPI2.1.1
109;2;Physical health intervention;1;Physical activity ;Nia / The Groove ;NPI2.1.1
7011;2;Physical health intervention;1;Physical activity ;Nordics walk;NPI2.1.1
8362;2;Physical health intervention;1;Physical activity ;P.I.E.D (integrated dynamicBalance program);NPI2.1.1
115;2;Physical health intervention;1;Physical activity ;Pickleball;NPI2.1.1
8840;2;Physical health intervention;1;Physical activity ;Pilates;NPI2.1.1
8841;2;Physical health intervention;1;Physical activity ;Pilates -Balloon;NPI2.1.1
8843;2;Physical health intervention;1;Physical activity ;Pilates gently;NPI2.1.1
8842;2;Physical health intervention;1;Physical activity ;Pilates ring;NPI2.1.1
8846;2;Physical health intervention;1;Physical activity ;PILOXING SSP;NPI2.1.1
