id;catcode;catname;scatcode;scatname;charac;code
7605;3; Nutritional health intervention;1;Dietary supplement ;# 10 crab apple;NPI3.1.1
4314;3; Nutritional health intervention;1;Dietary supplement ;# 10 granuleBach flower: wild apple / apple crab;NPI3.1.1
4318;3; Nutritional health intervention;1;Dietary supplement ;# 14 granuleBach flower: heather / heather;NPI3.1.1
4319;3; Nutritional health intervention;1;Dietary supplement ;# 15 granuleBach flower: holly / holly;NPI3.1.1
4320;3; Nutritional health intervention;1;Dietary supplement ;# 16 granuleBach flower: honeysuckle / honeysuckle;NPI3.1.1
4322;3; Nutritional health intervention;1;Dietary supplement ;# 18 granuleBach flower: impatience / impatiens;NPI3.1.1
4331;3; Nutritional health intervention;1;Dietary supplement ;# 26 granuleBach flower: helianthme / pink rock;NPI3.1.1
4334;3; Nutritional health intervention;1;Dietary supplement ;# 3 granuleBach flower:Beech /Beech;NPI3.1.1
4339;3; Nutritional health intervention;1;Dietary supplement ;# 34 granuleBach flower: violet water / purple water;NPI3.1.1
4340;3; Nutritional health intervention;1;Dietary supplement ;# 35 granuleBach flower: white chestnut / white chestnut;NPI3.1.1
4345;3; Nutritional health intervention;1;Dietary supplement ;# 5 granuleBach flower: plumbago / cerato;NPI3.1.1
4347;3; Nutritional health intervention;1;Dietary supplement ;# 7 granuleBach flower: chestnutBud / chestnutBud;NPI3.1.1
4348;3; Nutritional health intervention;1;Dietary supplement ;# 8 granuleBach flower: chicory / chicory;NPI3.1.1
118;3; Nutritional health intervention;1;Dietary supplement ;1 a day multivitamins;NPI3.1.1
138;3; Nutritional health intervention;1;Dietary supplement ;1 day lives;NPI3.1.1
117;3; Nutritional health intervention;1;Dietary supplement ;1 n;NPI3.1.1
120;3; Nutritional health intervention;1;Dietary supplement ;100% Bcaa 8: 1: 1;NPI3.1.1
121;3; Nutritional health intervention;1;Dietary supplement ;100% Beta-alanine;NPI3.1.1
122;3; Nutritional health intervention;1;Dietary supplement ;100% carnitine;NPI3.1.1
119;3; Nutritional health intervention;1;Dietary supplement ;100% casein;NPI3.1.1
124;3; Nutritional health intervention;1;Dietary supplement ;100% creatine monohydrate;NPI3.1.1
125;3; Nutritional health intervention;1;Dietary supplement ;100% monohydrate creatine;NPI3.1.1
126;3; Nutritional health intervention;1;Dietary supplement ;100% omega3;NPI3.1.1
127;3; Nutritional health intervention;1;Dietary supplement ;100% pure creatine 200 mesh;NPI3.1.1
128;3; Nutritional health intervention;1;Dietary supplement ;100% pure l glutamine;NPI3.1.1
129;3; Nutritional health intervention;1;Dietary supplement ;100% pure l-glutamine;NPI3.1.1
130;3; Nutritional health intervention;1;Dietary supplement ;100% strong Bcaa;NPI3.1.1
131;3; Nutritional health intervention;1;Dietary supplement ;100% strong glutamine;NPI3.1.1
123;3; Nutritional health intervention;1;Dietary supplement ;100% vegetable charcoal - v0415;NPI3.1.1
5512;3; Nutritional health intervention;1;Dietary supplement ;1000 mg coconut oil;NPI3.1.1
136;3; Nutritional health intervention;1;Dietary supplement ;12 mineral vitamins;NPI3.1.1
132;3; Nutritional health intervention;1;Dietary supplement ;12 vitamins & 8 minerals;NPI3.1.1
133;3; Nutritional health intervention;1;Dietary supplement ;12 vitamins & minerals;NPI3.1.1
134;3; Nutritional health intervention;1;Dietary supplement ;12 vitamins 7 trace elements;NPI3.1.1
135;3; Nutritional health intervention;1;Dietary supplement ;12 vitamins ginseng;NPI3.1.1
137;3; Nutritional health intervention;1;Dietary supplement ;14 day detox;NPI3.1.1
140;3; Nutritional health intervention;1;Dietary supplement ;1v;NPI3.1.1
143;3; Nutritional health intervention;1;Dietary supplement ;2 acaps;NPI3.1.1
144;3; Nutritional health intervention;1;Dietary supplement ;2 hours;NPI3.1.1
9874;3; Nutritional health intervention;1;Dietary supplement ;20 mg;NPI3.1.1
141;3; Nutritional health intervention;1;Dietary supplement ;21 day Burning;NPI3.1.1
3537;3; Nutritional health intervention;1;Dietary supplement ;24-hour articulation duo;NPI3.1.1
142;3; Nutritional health intervention;1;Dietary supplement ;28 day detox;NPI3.1.1
145;3; Nutritional health intervention;1;Dietary supplement ;2v;NPI3.1.1
146;3; Nutritional health intervention;1;Dietary supplement ;3 amino acids;NPI3.1.1
556;3; Nutritional health intervention;1;Dietary supplement ;3 in 1 sensor;NPI3.1.1
147;3; Nutritional health intervention;1;Dietary supplement ;3 whey pro Banana strawberry;NPI3.1.1
148;3; Nutritional health intervention;1;Dietary supplement ;3 whey pro choco;NPI3.1.1
149;3; Nutritional health intervention;1;Dietary supplement ;3 whey pro cranberry;NPI3.1.1
150;3; Nutritional health intervention;1;Dietary supplement ;3 whey pro pina colada;NPI3.1.1
151;3; Nutritional health intervention;1;Dietary supplement ;3 whey pro tiramisu;NPI3.1.1
152;3; Nutritional health intervention;1;Dietary supplement ;3 whey pro vanilla;NPI3.1.1
153;3; Nutritional health intervention;1;Dietary supplement ;3d;NPI3.1.1
154;3; Nutritional health intervention;1;Dietary supplement ;3d draine;NPI3.1.1
155;3; Nutritional health intervention;1;Dietary supplement ;3d express;NPI3.1.1
160;3; Nutritional health intervention;1;Dietary supplement ;4 life transfer factor plus tri-factor formula;NPI3.1.1
2648;3; Nutritional health intervention;1;Dietary supplement ;4 plants silhouette complex;NPI3.1.1
156;3; Nutritional health intervention;1;Dietary supplement ;4 power;NPI3.1.1
157;3; Nutritional health intervention;1;Dietary supplement ;45 overall slimming;NPI3.1.1
158;3; Nutritional health intervention;1;Dietary supplement ;45 water retention;NPI3.1.1
159;3; Nutritional health intervention;1;Dietary supplement ;4ab;NPI3.1.1
162;3; Nutritional health intervention;1;Dietary supplement ;5 htp;NPI3.1.1
161;3; Nutritional health intervention;1;Dietary supplement ;5 strong ginseng;NPI3.1.1
7036;3; Nutritional health intervention;1;Dietary supplement ;500 gum putty;NPI3.1.1
163;3; Nutritional health intervention;1;Dietary supplement ;5a;NPI3.1.1
164;3; Nutritional health intervention;1;Dietary supplement ;5-htp;NPI3.1.1
165;3; Nutritional health intervention;1;Dietary supplement ;5-htp 50mg;NPI3.1.1
166;3; Nutritional health intervention;1;Dietary supplement ;5-mm;NPI3.1.1
167;3; Nutritional health intervention;1;Dietary supplement ;6 calcium in1;NPI3.1.1
168;3; Nutritional health intervention;1;Dietary supplement ;6 iron in 1;NPI3.1.1
169;3; Nutritional health intervention;1;Dietary supplement ;6 magnesium in 1;NPI3.1.1
170;3; Nutritional health intervention;1;Dietary supplement ;6 slimming plants;NPI3.1.1
171;3; Nutritional health intervention;1;Dietary supplement ;6a;NPI3.1.1
172;3; Nutritional health intervention;1;Dietary supplement ;7 one silhouette;NPI3.1.1
173;3; Nutritional health intervention;1;Dietary supplement ;7fm;NPI3.1.1
174;3; Nutritional health intervention;1;Dietary supplement ;7hp;NPI3.1.1
175;3; Nutritional health intervention;1;Dietary supplement ;8: 1: 1Bcaa & orange glutamine;NPI3.1.1
176;3; Nutritional health intervention;1;Dietary supplement ;804 slimming pack (804 oral solution);NPI3.1.1
177;3; Nutritional health intervention;1;Dietary supplement ;804 starter (804 oral solution);NPI3.1.1
179;3; Nutritional health intervention;1;Dietary supplement ;804 starter (night tablets);NPI3.1.1
178;3; Nutritional health intervention;1;Dietary supplement ;804 starter (tablets daily);NPI3.1.1
180;3; Nutritional health intervention;1;Dietary supplement ;8d;NPI3.1.1
181;3; Nutritional health intervention;1;Dietary supplement ;8m;NPI3.1.1
